Date,Nasdaq,DJIA,S&P500,nasdaq_ma5,nasdaq_ma20,nasdaq_ma60,nasdaq_ma120,nasdaq_ma200,dow_ma5,dow_ma20,dow_ma60,dow_ma120,dow_ma200,s_p_ma5,s_p_ma20,s_p_ma60,s_p_ma120,s_p_ma200
2021-01-14,13112.6396484375,30991.51953125,3795.5400390625,13110.4859375,12884.54453125,12205.57119140625,11692.469750976565,10770.06,31045.46796875,30533.3830078125,29525.18199869792,28653.9232421875,27173.37873046875,3806.172021484375,3743.456005859375,3612.1213338216144,3496.9480021158856,3293.319702148437
2021-01-15,12998.5,30814.259765625,3768.25,13069.78984375,12901.560009765624,12230.271354166667,11712.988338216146,10798.249599609377,30988.72578125,30566.36904296875,29566.93984375,28689.168994140626,27222.73248046875,3794.88603515625,3746.810009765625,3617.540165201823,3501.355002848308,3299.808452148437
2021-01-19,13197.1796875,30930.51953125,3798.909912109375,13101.93984375,12923.181494140625,12258.812841796876,11736.28075358073,10826.798947753909,30973.091796875,30597.7265625,29612.2681640625,28727.09599609375,27270.317880859377,3794.74599609375,3750.631506347656,3623.59599609375,3506.1922526041667,3306.1685021972658
2021-01-20,13457.25,31188.380859375,3851.85009765625,13178.90390625,12958.26201171875,12291.333512369793,11760.566666666668,10857.21979736328,30997.030078125,30648.19306640625,29659.34684244792,28765.836083984374,27320.997138671875,3804.87802734375,3757.753515625,3630.235331217448,3511.1373372395838,3312.984503173828
2021-01-21,13530.91015625,31176.009765625,3853.070068359375,13259.2958984375,12997.68154296875,12324.37734375,11785.092504882812,10885.308146972657,31020.137890625,30696.17109375,29706.6875,28806.35574544271,27363.477236328126,3813.5240234375,3765.661022949219,3636.696667480469,3516.1944213867187,3318.9314538574217
2021-01-22,13543.0595703125,30996.98046875,3841.469970703125,13345.3798828125,13034.438525390626,12360.779329427083,11808.407421875,10913.587145996094,31021.230078125,30745.24462890625,29761.880826822915,28844.42791341146,27405.192841796877,3822.710009765625,3773.3715209960938,3644.038334147136,3520.947336832682,3324.8417541503904
2021-01-25,13635.990234375,30960.0,3855.360107421875,13472.8779296875,13077.68251953125,12397.52333984375,11831.184008789063,10941.31259765625,31050.378125,30786.753125,29820.161002604167,28880.224576822915,27442.82499023437,3840.13203125,3781.639025878906,3651.7830037434896,3525.620253499349,3330.368654785156
2021-01-26,13626.0595703125,30937.0390625,3849.6201171875,13558.65390625,13118.748974609374,12441.209830729167,11853.558089192707,10968.674995117188,31051.68203125,30823.61162109375,29893.779166666667,28914.46264648437,27478.91333984375,3850.274072265625,3788.9670288085936,3661.426171875,3530.146171061198,3335.667655029297
2021-01-27,13270.599609375,30303.169921875,3750.77001953125,13521.323828125,13137.307958984376,12475.959993489583,11872.493082682293,10994.065893554687,30874.63984375,30818.57158203125,29954.513509114586,28940.30973307292,27513.475341796875,3830.058056640625,3789.737524414063,3668.77050374349,3533.671171061198,3340.6133557128906
2021-01-28,13337.16015625,30603.359375,3787.3798828125,13482.573828125,13161.65498046875,12516.386165364584,11891.068831380207,11018.172993164062,30760.109765625,30831.9560546875,30022.876171875,28967.112890625,27546.74333984375,3816.92001953125,3792.7545166015625,3677.394169108073,3537.3230041503907,3345.3199548339844
